name,price,description,stock,sku,category,tag,weight,dimension,scraping_method
Cubone,177.0,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",242 in stock,3170,"Lonely, Pokemon","cubone, Lonely, Rock Head",14.3 kg,1 x 1 x 1 cm,Selenium
Marowak,36.0,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,295 in stock,8681,"Bone Keeper, Pokemon","Bone Keeper, marowak, Rock Head",99.2 kg,3 x 3 x 3 cm,Selenium
Hitmonlee,73.0,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",269 in stock,6833,"Kicking, Pokemon","hitmonlee, Kicking, Limber",109.8 kg,4 x 4 x 4 cm,Selenium
Hitmonchan,91.0,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,163 in stock,3499,"Pokemon, Punching","hitmonchan, Keen Eye, Punching",110.7 kg,4 x 4 x 4 cm,Selenium
Lickitung,142.0,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.",291 in stock,5903,"Licking, Pokemon","Licking, lickitung, Oblivious",144.4 kg,3 x 3 x 3 cm,Selenium
Koffing,38.0,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",110 in stock,3303,"Poison Gas, Pokemon","koffing, Levitate, Poison Gas",2.2 kg,2 x 2 x 2 cm,Selenium
Weezing,48.0,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",117 in stock,8429,"Poison Gas, Pokemon","Levitate, Poison Gas, weezing",20.9 kg,3 x 3 x 3 cm,Selenium
Rhyhorn,124.0,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",138 in stock,8574,"Pokemon, Spikes","rhyhorn, Rock Head, Spikes",253.5 kg,3 x 3 x 3 cm,Selenium
Rhydon,27.0,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",73 in stock,4900,"Drill, Pokemon","Drill, rhydon, Rock Head",264.6 kg,6 x 6 x 6 cm,Selenium
Chansey,176.0,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",151 in stock,8548,"Egg, Pokemon","chansey, Egg, Natural Cure",76.3 kg,3 x 3 x 3 cm,Selenium
Tangela,64.0,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",91 in stock,3530,"Pokemon, Vine","Chlorophyll, tangela, Vine",77.2 kg,3 x 3 x 3 cm,Selenium
Kangaskhan,164.0,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon’s parent is sure to be in the area, and it will become violently enraged at you.",35 in stock,7268,"Parent, Pokemon","Early Bird, kangaskhan, Parent",176.4 kg,7 x 7 x 7 cm,Selenium
Horsea,154.0,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",88 in stock,1885,"Dragon, Pokemon","Dragon, horsea, Swift Swim",17.6 kg,1 x 1 x 1 cm,Selenium
Seadra,51.0,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",45 in stock,2148,"Dragon, Pokemon","Dragon, Poison Point, seadra",55.1 kg,3 x 3 x 3 cm,Selenium
Goldeen,170.0,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.",117 in stock,3144,"Goldfish, Pokemon","goldeen, Goldfish, Swift Swim",33.1 kg,2 x 2 x 2 cm,Selenium
Seaking,129.0,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokémon goes on for over a month.,226 in stock,9260,"Goldfish, Pokemon","Goldfish, seaking, Swift Swim",86 kg,4 x 4 x 4 cm,Selenium
Staryu,166.0,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokémon simply regenerates the missing pieces and limbs.",292 in stock,7802,"Pokemon, Star Shape","Natural Cure, Star Shape, staryu",76.1 kg,2 x 2 x 2 cm,Selenium
Starmie,176.0,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokémon’s body glows in seven colors.,283 in stock,7984,"Mysterious, Pokemon","Mysterious, Natural Cure, starmie",176.4 kg,3 x 3 x 3 cm,Selenium
Mr-mime,144.0,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.",105 in stock,9469,"Barrier, Pokemon","Barrier, mr-mime, Soundproof",120.1 kg,4 x 4 x 4 cm,Selenium
Scyther,85.0,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke.",139 in stock,5181,"Mantis, Pokemon","Mantis, scyther, Swarm",123.5 kg,4 x 4 x 4 cm,Selenium
Jynx,138.0,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.",197 in stock,1615,"Human Shape, Pokemon","Human Shape, jynx, Oblivious",89.5 kg,4 x 4 x 4 cm,Selenium
Electabuzz,125.0,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.",63 in stock,7699,"Electric, Pokemon","electabuzz, Electric, Static",66.1 kg,3 x 3 x 3 cm,Selenium
Magmar,130.0,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokémon’s fiery bursts create heat waves that ignite grass and trees in its surroundings.",16 in stock,8655,"Pokemon, Spitfire","Flame Body, magmar, Spitfire",98.1 kg,4 x 4 x 4 cm,Selenium
Pinsir,141.0,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe’s body when the pincer closes, making it tough for the foe to escape.",29 in stock,2091,"Pokemon, Stag Beetle","Hyper Cutter, pinsir, Stag Beetle",121.3 kg,4 x 4 x 4 cm,Selenium
Tauros,63.0,"This Pokémon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.",298 in stock,2149,"Pokemon, Wild Bull","Intimidate, tauros, Wild Bull",194.9 kg,4 x 4 x 4 cm,Selenium
Magikarp,43.0,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokémon that can survive in any body of water no matter how polluted it is.",126 in stock,6706,"Fish, Pokemon","Fish, magikarp, Swift Swim",22 kg,2 x 2 x 2 cm,Selenium
Gyarados,79.0,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month.",100 in stock,9629,"Atrocious, Pokemon","Atrocious, gyarados, Intimidate",518.1 kg,21 x 21 x 21 cm,Selenium
Lapras,172.0,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokémon is said to sing plaintively as it seeks what few others of its kind still remain.",89 in stock,7759,"Pokemon, Transport","lapras, Transport, Water Absorb",485 kg,8 x 8 x 8 cm,Selenium
Ditto,75.0,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokémon manages to get details wrong.",177 in stock,5061,"Pokemon, Transform","ditto, Limber, Transform",8.8 kg,1 x 1 x 1 cm,Selenium
Eevee,112.0,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,234 in stock,3593,"Evolution, Pokemon","eevee, Evolution, Run Away",14.3 kg,1 x 1 x 1 cm,Selenium
Vaporeon,147.0,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokémon has the ability to freely control water.,226 in stock,5437,"Bubble Jet, Pokemon","Bubble Jet, vaporeon, Water Absorb",63.9 kg,3 x 3 x 3 cm,Selenium
Jolteon,158.0,"Jolteon’s cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokémon to drop thunderbolts. The bristling fur is made of electrically charged needles.",37 in stock,4119,"Lightning, Pokemon","jolteon, Lightning, Volt Absorb",54 kg,2 x 2 x 2 cm,Selenium
Flareon,34.0,"Flareon’s fluffy fur has a functional purpose—it releases heat into the air so that its body does not get excessively hot. This Pokémon’s body temperature can rise to a maximum of 1,650 degrees Fahrenheit.",142 in stock,8149,"Flame, Pokemon","Flame, flareon, Flash Fire",55.1 kg,2 x 2 x 2 cm,Selenium
Porygon,178.0,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokémon is copy protected so it cannot be duplicated by copying.,156 in stock,7940,"Pokemon, Virtual","porygon, Trace, Virtual",80.5 kg,2 x 2 x 2 cm,Selenium
Omanyte,162.0,"Omanyte is one of the ancient and long-since-extinct Pokémon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.",13 in stock,4569,"Pokemon, Spiral","omanyte, Shell Armor, Spiral",16.5 kg,1 x 1 x 1 cm,Selenium
Omastar,61.0,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.",249 in stock,3283,"Pokemon, Spiral","omastar, Shell Armor, Spiral",77.2 kg,3 x 3 x 3 cm,Selenium
Kabuto,79.0,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years.",187 in stock,9584,"Pokemon, Shellfish","kabuto, Shellfish, Swift Swim",25.4 kg,1 x 1 x 1 cm,Selenium
Kabutops,57.0,Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,228 in stock,4736,"Pokemon, Shellfish","kabutops, Shellfish, Swift Swim",89.3 kg,4 x 4 x 4 cm,Selenium
Aerodactyl,56.0,Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,257 in stock,1801,"Fossil, Pokemon","aerodactyl, Fossil, Rock Head",130.1 kg,5 x 5 x 5 cm,Selenium
Snorlax,134.0,Snorlax’s typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play.,260 in stock,9883,"Pokemon, Sleeping","Sleeping, snorlax, Thick Fat",1014.1 kg,6 x 6 x 6 cm,Selenium
Articuno,77.0,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall.",101 in stock,6040,"Freeze, Pokemon","articuno, Freeze, Pressure",122.1 kg,5 x 5 x 5 cm,Selenium
Zapdos,133.0,Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts.,265 in stock,7213,"Electric, Pokemon","Electric, Pressure, zapdos",116 kg,5 x 5 x 5 cm,Selenium
Moltres,178.0,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",208 in stock,2571,"Flame, Pokemon","Flame, moltres, Pressure",132.3 kg,6 x 6 x 6 cm,Selenium
Dratini,94.0,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,275 in stock,2799,"Dragon, Pokemon","Dragon, dratini, Shed Skin",7.3 kg,5 x 5 x 5 cm,Selenium
Dragonair,57.0,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,119 in stock,5641,"Dragon, Pokemon","Dragon, dragonair, Shed Skin",36.4 kg,13 x 13 x 13 cm,Selenium
Dragonite,69.0,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,127 in stock,9175,"Dragon, Pokemon","Dragon, dragonite, Inner Focus",463 kg,7 x 7 x 7 cm,Selenium
Mewtwo,43.0,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.",78 in stock,4630,"Genetic, Pokemon","Genetic, mewtwo, Pressure",269 kg,6 x 6 x 6 cm,Selenium
Mew,136.0,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",152 in stock,4382,"New Species, Pokemon","mew, New Species, Synchronize",8.8 kg,1 x 1 x 1 cm,Selenium
Chikorita,127.0,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",98 in stock,2657,"Leaf, Pokemon","chikorita, Leaf, Overgrow",14.1 kg,2 x 2 x 2 cm,Selenium
